"Update city list","Оновити список міст"
"API key","API ключ"
"Nova Poshta Catalog","Нова Пошта Каталог"
"Update warehouse list","Оновити список складів"
"Firstly you need to update city list","Спочатку оновіть список міст"
"Successfully synced","Успішно синхронізовано"
"Update warehouse types list","Оновити типи складів Нової Пошти"
"Gets update of Novaposhta warehouse types","Отримати оновлення складів"
"Novaposhta does not respond or respond has been incorrect","Нова пошта не відповідає чи відповідь була не дійсна"
"Every day","Кожен день"
"7 days","Щотижня"
"15 days","2 рази на місяць"
"30 days","1 раз на місяць"
"A total of %1 element(s) have been deleted","Всього %1 елементів видалено"
"Warehouse types successfully synced","Типи складів успішно синхронізовані"
"Warehouses successfully synced","Склади успішно синхронізовані"
"Cities successfully synced","Міста успішно синхронізовані"
"We can not save the Cron expression.","Ми не можемо зберегти вираз Cron."
"Working","Працює"
"In Process Opening","В процесі відкриття"
"Not Working","Не працює"
"Not Working Temporary","Тимчасово не працює"
"Delete all","Видалити все"
"Warehouse uk-UA","Склад (по укр.)"
"Warehouse ru-UA","Склад (по рос.)"
"Settlement","Населений пункт"
"Global number of warehouse","Глобальний номер сладу в системі"
"Short address uk-UA","Короткий адреса (по укр.)"
"Short address ru-UA","Короткий адреса (по рос.)"
"Number in the city","Номер складу в місті"
"Settlement area description","Область"
"Settlement region description","Район"
"Settlement type description","Тип населеного пункту"
"Longitude","Довгота"
"Latitude","Широта"
"Total max weight allowed","Загальна дозволена вага (для маленьких складів)"
"Place max weight allowed","Загальна дозволена вага (для великих складів)"
"Warehouse status","Статус складу"
"Update cities list","Оновити список міст"
"View list of warehouse","Подивитися список складів"
"Must be used first","Повинно бути використано першим"
"Must be used after update of warehouse types list","Повинно бути використано після оновлення типів складів"
"Can be used anytime","Може бути використано незалежно від складів"
"View all data","Подивитися дані складів"
"Enable Scheduled Synchronization","Включити оновлення за розкладом"
"Start Time","Час початку"
"Frequency","Частота"
"Last Cities Synchronization","Останнє оновлення міст"
"Last Warehouse Synchronization","Останнє оновлення складів"
"Last Warehouse Types Synchronization","Останнє оновлення типів складів"
"Schedule","Розклад"
"Actions","Дії"
"Your city: ","Ваше місто: "
"General settings","Загальні налаштування"
"Too many attempts","Забагато спроб на оновлення сутності"
